Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
190645:2486,101,619741.289853,[10-110],541688.657819
190704:2491,3,130661.470484,[1-3],27574.4303921
190705:2491,364,14498602.7629,"[1-5], [7-65], [81-336], [338-350], [353-383]",14073675.3422
190738:2493,345,12868674.8213,"[1-130], [133-226], [229-349]",12593748.6853
191043:2508,2,147883.621764,[45-46],60111.118802
191046:2508,228,14326832.231,"[1-21], [24-82], [84-88], [92-116], [119-180], [183-183], [185-239]",13400474.2183
191056:2508,10,592301.468124,"[1-1], [4-9], [16-17], [19-19]",255993.948895
191057:2508,38,2152067.03046,"[1-1], [4-40]",2078085.98171
191062:2508,538,26122349.186,"[1-1], [3-3], [5-214], [216-541]",25725493.7562
191090:2509,55,1964767.95984,[1-55],1778088.92464
191201:2511,40,3000809.38704,"[38-49], [52-79]",2879933.37455
191202:2511,93,7551613.88938,"[1-64], [66-68], [87-105], [108-114]",7019814.90545
191226:2513,1602,93033441.1575,"[77-78], [81-831], [833-1454], [1456-1466], [1469-1507], [1510-1686]",91581342.3827
191247:2514,1204,70744231.1645,"[1-153], [156-280], [283-606], [608-620], [622-818], [821-834], [837-1031], [1034-1046], [1049-1140], [1143-1187], [1190-1214], [1217-1224]",68994196.5543
191248:2514,103,4466190.43668,[1-103],4310529.99971
191264:2515,124,11465030.3745,"[59-79], [82-152], [155-186]",11204779.6552
191271:2516,103,9584932.3767,[56-158],9451379.48674
191276:2516,16,1232957.75028,[1-16],923368.549408
191277:2516,837,53654370.8482,"[1-28], [30-164], [167-253], [255-457], [460-535], [537-576], [579-775], [778-811], [813-849]",52521648.1412
191367:2520,2,927.820355102,[1-2],918.608457594
191411:2523,23,1096.24128538,[1-23],1087.43577396
191695:2533,1,99551.5099871,[1-1],12172.1619375
191718:2534,163,16752268.89,"[43-95], [98-207]",16506527.1003
191720:2534,179,13688655.9664,"[1-1], [3-15], [17-181]",12330736.9041
191721:2534,185,10457888.7137,"[1-1], [3-34], [36-183], [186-189]",10237267.7693
191726:2534,13,607678.389103,[1-13],503019.660155
191810:2535,70,7813376.59659,"[15-15], [22-49], [52-92]",7630067.23846
191830:2536,336,38146374.2147,"[54-242], [245-301], [304-393]",37212281.9592
191833:2536,102,9786407.05389,"[1-1], [3-103]",9406512.77797
191834:2536,346,29842316.194,"[1-30], [33-74], [77-299], [302-352]",29151686.0902
191837:2536,61,4692993.13126,"[1-44], [47-53], [56-65]",4370889.16976
191856:2536,133,8898355.84254,[1-133],8492648.65353
191859:2536,124,7448678.20495,"[1-28], [31-126]",7247214.77029
193093:2576,33,86239.4490793,[1-33],72787.5031575
193123:2580,27,549217.371184,[1-27],535879.350376
